id,name,lat,long,estimate
1,Alabama,32.806671,-86.79113,"35,000"
2,Arizona,33.729759,-111.43122,190000
3,Arkansas,34.969704,-92.373123,"246,400"
4,California,36.116203,-119.68156,"680,300,000"
5,Colorado,39.059811,-105.3111,"557,000"
6,Connecticut,41.597782,-72.755371,"134,500"
7,Delaware,39.318523,-75.507141,0
8,Florida,27.766279,-81.686783,"1,600,000"
9,Georgia,33.040619,-83.643074,"276,100"
10,Idaho,44.240459,-114.47883,"497,000"
11,Illinois,40.349457,-88.986137,"391,800"
12,Indiana,39.849426,-86.258278,"1,400,000"
13,Iowa,42.011539,-93.210526,"335,500"
14,Kansas,38.5266,-96.726486,"104,100"
15,Kentucky,37.66814,-84.670067,"2,200,000"
16,Louisiana,31.169546,-91.867805,"38,200"
17,Maine,44.693947,-69.381927,"48,200"
18,Maryland,39.063946,-76.802101,"438,200"
19,Massachusetts,42.230171,-71.530106,"792,900"
20,Michigan,43.326618,-84.536095,"2,600,000"
21,Minnesota,45.694454,-93.900192,"331,900"
22,Mississippi,32.741646,-89.678696,0
23,Missouri,38.456085,-92.288368,"993,800"
24,Montana,46.921925,-110.45435,"33,400"
25,Nebraska,41.12537,-98.268082,"120,400"
26,Nevada,38.313515,-117.05537,0
27,New Hampshire,43.452492,-71.563896,"159,300"
28,New Jersey,40.298904,-74.521011,"1,800,000"
29,New Mexico,34.840515,-106.24848,"749,800"
30,New York,42.165726,-74.948051,"28,000,000"
31,North Carolina,35.630066,-79.806419,"1,900,000"
32,North Dakota,47.528912,-99.784012,0
33,Ohio,40.388783,-82.764915,"5,900,000"
34,Oklahoma,35.565342,-96.928917,"70,200"
35,Oregon,44.572021,-122.07094,"11,800,000"
36,Pennsylvania,40.590752,-77.209755,"12,400,000"
37,Rhode Island,41.680893,-71.51178,0
38,South Carolina,33.856892,-80.945007,"77,800"
39,South Dakota,44.299782,-99.438828,"139,700"
40,Tennessee,35.747845,-86.692345,"1,300,000"
41,Texas,31.054487,-97.563461,"1,900,000"
42,Utah,40.150032,-111.86243,0
43,Vermont,44.045876,-72.710686,"2,200,000"
44,Virginia,37.769337,-78.169968,"2,200,000"
45,Washington,47.400902,-121.49049,"40,700,000"
46,West Virginia,38.491226,-80.954453,"40,700"
47,Wisconsin,44.268543,-89.616508,"1,100,000"
48,Wyoming,42.755966,-107.30249,0
